code_name	orig_name
aaaaa	Amborella_trichopoda
aaaab	Drimys_granadensis
aaaac	Drimys_winteri
aaaad	Pseudowintera_colorata
aaaae	Tasmannia_insipida
aaaaf	Tasmannia_lanceolata
aaaag	Sarcandra_glabra
aaaah	Trochodendron_aralioides
aaaai	Cycas_armstrongii
aaaaj	Cycas_clivicola
aaaak	Cycas_media
aaaal	Cycas_revoluta
aaaam	Cycas_rumphii
aaaan	Bowenia_spectabilis
aaaao	Stangeria_eriopus
aaaap	Ceratozamia_brevifrons
aaaaq	Ceratozamia_decumbens
aaaar	Ceratozamia_miqueliana
aaaas	Ceratozamia_norstogii
aaaat	Ceratozamia_robusta
aaaau	Dioon_edule
aaaav	Dioon_merolae
aaaaw	Dioon_purpusii
aaaax	Dioon_rzedowskii
aaaay	Dioon_spinulosum
aaaaz	Encephalartos_natalensis
aaabb	Encephalartos_transvenosus
aaabc	Lepidozamia_hopei
aaabd	Macrozamia_communis
aaabe	Zamia_elegantissima
aaabf	Zamia_fischeri
aaabg	Zamia_furfuracea
aaabh	Zamia_prasina
aaabi	Zamia_spartea
aaabj	Agathis_ovata
aaabk	Araucaria_araucana
aaabl	Araucaria_columnaris
aaabm	Araucaria_heterophylla
aaabn	Araucaria_muelleri
aaabo	Araucaria_nemorosa
aaabp	Araucaria_subulata
aaabq	Afrocarpus_falcatus
aaabr	Dacrycarpus_dacrydioides
aaabs	Dacrydium_araucarioides
aaabt	Dacrydium_balansae
aaabu	Dacrydium_cupressinum
aaabv	Halocarpus_bidwillii
aaabw	Halocarpus_biformis
aaabx	Lepidothamnus_fonkii
aaaby	Lepidothamnus_intermedius
aaabz	Lepidothamnus_laxifolius
aaacc	Manoao_colensoi
aaacd	Microcachrys_tetragona
aaace	Pherosphaera_hookeriana
aaacf	Phyllocladus_alpinus
aaacg	Phyllocladus_aspleniifolius
aaach	Podocarpus_drouynianus
aaaci	Podocarpus_elatus
aaacj	Podocarpus_grayae
aaack	Podocarpus_lucienii
aaacl	Podocarpus_matudae
aaacm	Podocarpus_nivalis
aaacn	Podocarpus_novae_caledoniae
aaaco	Podocarpus_nubigenus
aaacp	Podocarpus_salignus
aaacq	Podocarpus_spinulosus
aaacr	Prumnopitys_andina
aaacs	Prumnopitys_taxifolia
aaact	Retrophyllum_comptonii
aaacu	Retrophyllum_minus
aaacv	Saxegothaea_conspicua
aaacw	Actinostrobus_arenarius
aaacx	Actinostrobus_pyramidalis
aaacy	Athrotaxis_cupressoides
aaacz	Athrotaxis_selaginoides
aaadd	Austrocedrus_chilensis
aaade	Callitris_muelleri
aaadf	Callitris_preissii
aaadg	Callitris_rhomboidea
aaadh	Calocedrus_decurrens
aaadi	Chamaecyparis_lawsoniana
aaadj	Chamaecyparis_obtusa
aaadk	Cryptomeria_japonica
aaadl	Cunninghamia_lanceolata
aaadm	Cupressus_benthamii
aaadn	Cupressus_lusitanica
aaado	Cupressus_macrocarpa
aaadp	Cupressus_sempervirens
aaadq	Fitzroya_cupressoides
aaadr	Juniperus_communis
aaads	Juniperus_deppeana
aaadt	Juniperus_flaccida
aaadu	Juniperus_monticola
aaadv	Juniperus_oxycedrus
aaadw	Juniperus_phoenicea
aaadx	Juniperus_scopulorum
aaady	Juniperus_thurifera
aaadz	Libocedrus_bidwillii
aaaee	Libocedrus_chevalieri
aaaef	Metasequoia_glyptostroboides
aaaeg	Pilgerodendron_uviferum
aaaeh	Platycladus_orientalis
aaaei	Sequoia_sempervirens
aaaej	Taxodium_mucronatum
aaaek	Thuja_plicata
aaael	Widdringtonia_nodiflora
aaaem	Sciadopitys_verticillata
aaaen	Austrotaxus_spicata
aaaeo	Taxus_brevifolia
aaaep	Taxus_globosa
aaaeq	Torreya_californica
aaafz	Ginkgo_biloba
aaaes	Abies_alba
aaaet	Abies_concolor
aaaeu	Abies_lasiocarpa
aaaev	Abies_religiosa
aaaew	Cathaya_argyrophylla
aaaex	Cedrus_deodara
aaaey	Keteleeria_davidiana
aaaez	Larix_occidentalis
aaaff	Picea_engelmannii
aaafg	Pinus_ayacahuite
aaafh	Pinus_halepensis
aaafi	Pinus_jaliscana
aaafj	Pinus_jeffreyi
aaafk	Pinus_maximinoi
aaafl	Pinus_muricata
aaafm	Pinus_nigra
aaafn	Pinus_strobus
aaafo	Pinus_sylvestris
aaafp	Pinus_uncinata
aaafq	Pseudotsuga_menziesii
aaafr	Tsuga_canadensis
aaafs	Tsuga_heterophylla
aaaft	Tsuga_mertensiana
aaafu	Quercus_rubra
aaafv	Lavandula_angustifolia
aaafw	Acorus_calamus
aaafx	Nymphaea_odorata
aaafy	Leea_guineensis
aaagg	Welwitschia_mirabilis
aaagh	Cyathea_lepifera
aaagj	Pteridium_aquilinum
aaagk	Ceratophyllum_demersum
aaagl	Helianthus_annuus
aaagm	Caryota_mitis
aaagn	Liriodendron_chinense
aaago	Manekia_sydowii
aaagp	Canella_winterana
aaagq	Ochroma_pyramidale
aaagr	Gunnera_manicata
aaags	Austrobaileya_scandens
aaagt	Ephedra_distachya
